DWS TOP DIVIDENDE;;;;;;
WKN: 984811;;;;;;
ISIN: DE0009848119;;;;;;
Typ: Fonds;;;;;;
Quelle: http://www.ariva.de/dws_top_dividende-fonds/historische_kurse;;;;;;
Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
21.02.2019;77,7548;78,4876;77,1377;77,1377;249;19.200
18.02.2019;78,2369;78,854;78,0922;78,1308;239;18.637
17.02.2019;78,4104;78,4104;77,909;78,0922;1.807;141.085
16.02.2019;78,6226;78,825;78,0537;78,8154;736;58.035
15.02.2019;78,1597;78,449;77,909;78,0055;381;29.690
14.02.2019;78,6708;78,6708;77,8897;77,8897;878;68.421
11.02.2019;77,3787;77,7933;77,2823;77,7065;467;36.266
10.02.2019;76,9737;77,8415;76,9544;77,8415;478;37.217
09.02.2019;78,0344;78,044;77,5523;77,6487;206;16.025
08.02.2019;77,938;77,938;77,1666;77,7162;460;35.786
07.02.2019;77,5137;78,2272;77,5137;77,7933;1.041;81.003
04.02.2019;77,0412;77,3787;77,0027;77,1377;244;18.800
03.02.2019;76,6363;76,9062;76,5302;76,6555;487;37.365
02.02.2019;76,2313;76,4531;76,2024;76,2024;25;1.897
01.02.2019;76,8484;77,2534;76,752;76,9641;792;60.982
31.01.2019;76,212;76,212;75,4599;75,4599;442;33.339
28.01.2019;76,5591;77,1087;75,836;76,2602;2.029;154.700
27.01.2019;77,4269;77,4269;76,5591;77,3594;298;23.026
26.01.2019;76,8773;77,6005;76,5398;76,5398;1.047;80.174
25.01.2019;77,4751;77,4751;76,2506;76,4338;1.334;101.941
24.01.2019;75,9999;77,2051;75,9999;77,2051;124;9.608
21.01.2019;76,6459;77,909;76,6459;77,0894;1.764;135.995
20.01.2019;77,668;77,668;76,4916;77,1087;463;35.667
19.01.2019;78,3526;78,3526;77,2051;77,6101;832;64.553
18.01.2019;77,8415;78,3236;77,8126;78,1694;504;39.400
17.01.2019;77,6198;78,3236;77,6198;78,1019;619;48.357
14.01.2019;77,6198;77,8126;77,6198;77,8126;519;40.350
13.01.2019;78,3044;78,4104;77,7644;77,7644;1.386;107.748
12.01.2019;78,7286;78,9986;78,0151;78,4586;379;29.700
11.01.2019;78,8154;79,0565;78,179;78,7672;477;37.577
10.01.2019;78,1019;78,5068;77,6198;78,5068;1.507;118.303
07.01.2019;77,6198;78,1501;77,6198;78,1019;280;21.870
06.01.2019;78,0633;78,0633;77,774;77,9765;83;6.470
05.01.2019;77,803;77,803;77,1377;77,4173;643;49.780
